Date,"Crude_Oil_WTI_('Close', 'CL=F')","Crude_Oil_WTI_('High', 'CL=F')","Crude_Oil_WTI_('Low', 'CL=F')","Crude_Oil_WTI_('Open', 'CL=F')","Crude_Oil_WTI_('Volume', 'CL=F')","Crude_Oil_Brent_('Close', 'BZ=F')","Crude_Oil_Brent_('High', 'BZ=F')","Crude_Oil_Brent_('Low', 'BZ=F')","Crude_Oil_Brent_('Open', 'BZ=F')","Crude_Oil_Brent_('Volume', 'BZ=F')","Natural_Gas_('Close', 'NG=F')","Natural_Gas_('High', 'NG=F')","Natural_Gas_('Low', 'NG=F')","Natural_Gas_('Open', 'NG=F')","Natural_Gas_('Volume', 'NG=F')","Heating_Oil_('Close', 'HO=F')","Heating_Oil_('High', 'HO=F')","Heating_Oil_('Low', 'HO=F')","Heating_Oil_('Open', 'HO=F')","Heating_Oil_('Volume', 'HO=F')","Gasoline_('Close', 'RB=F')","Gasoline_('High', 'RB=F')","Gasoline_('Low', 'RB=F')","Gasoline_('Open', 'RB=F')","Gasoline_('Volume', 'RB=F')","Gold_('Close', 'GC=F')","Gold_('High', 'GC=F')","Gold_('Low', 'GC=F')","Gold_('Open', 'GC=F')","Gold_('Volume', 'GC=F')","Silver_('Close', 'SI=F')","Silver_('High', 'SI=F')","Silver_('Low', 'SI=F')","Silver_('Open', 'SI=F')","Silver_('Volume', 'SI=F')","Platinum_('Close', 'PL=F')","Platinum_('High', 'PL=F')","Platinum_('Low', 'PL=F')","Platinum_('Open', 'PL=F')","Platinum_('Volume', 'PL=F')","Palladium_('Close', 'PA=F')","Palladium_('High', 'PA=F')","Palladium_('Low', 'PA=F')","Palladium_('Open', 'PA=F')","Palladium_('Volume', 'PA=F')","Copper_('Close', 'HG=F')","Copper_('High', 'HG=F')","Copper_('Low', 'HG=F')","Copper_('Open', 'HG=F')","Copper_('Volume', 'HG=F')","Aluminum_('Close', 'ALI=F')","Aluminum_('High', 'ALI=F')","Aluminum_('Low', 'ALI=F')","Aluminum_('Open', 'ALI=F')","Aluminum_('Volume', 'ALI=F')","Corn_('Close', 'ZC=F')","Corn_('High', 'ZC=F')","Corn_('Low', 'ZC=F')","Corn_('Open', 'ZC=F')","Corn_('Volume', 'ZC=F')","Wheat_('Close', 'ZW=F')","Wheat_('High', 'ZW=F')","Wheat_('Low', 'ZW=F')","Wheat_('Open', 'ZW=F')","Wheat_('Volume', 'ZW=F')","Soybeans_('Close', 'ZS=F')","Soybeans_('High', 'ZS=F')","Soybeans_('Low', 'ZS=F')","Soybeans_('Open', 'ZS=F')","Soybeans_('Volume', 'ZS=F')","Oats_('Close', 'ZO=F')","Oats_('High', 'ZO=F')","Oats_('Low', 'ZO=F')","Oats_('Open', 'ZO=F')","Oats_('Volume', 'ZO=F')","Rice_('Close', 'ZR=F')","Rice_('High', 'ZR=F')","Rice_('Low', 'ZR=F')","Rice_('Open', 'ZR=F')","Rice_('Volume', 'ZR=F')","Coffee_('Close', 'KC=F')","Coffee_('High', 'KC=F')","Coffee_('Low', 'KC=F')","Coffee_('Open', 'KC=F')","Coffee_('Volume', 'KC=F')","Sugar_('Close', 'SB=F')","Sugar_('High', 'SB=F')","Sugar_('Low', 'SB=F')","Sugar_('Open', 'SB=F')","Sugar_('Volume', 'SB=F')","Cotton_('Close', 'CT=F')","Cotton_('High', 'CT=F')","Cotton_('Low', 'CT=F')","Cotton_('Open', 'CT=F')","Cotton_('Volume', 'CT=F')","Cocoa_('Close', 'CC=F')","Cocoa_('High', 'CC=F')","Cocoa_('Low', 'CC=F')","Cocoa_('Open', 'CC=F')","Cocoa_('Volume', 'CC=F')","Orange_Juice_('Close', 'OJ=F')","Orange_Juice_('High', 'OJ=F')","Orange_Juice_('Low', 'OJ=F')","Orange_Juice_('Open', 'OJ=F')","Orange_Juice_('Volume', 'OJ=F')","Live_Cattle_('Close', 'LE=F')","Live_Cattle_('High', 'LE=F')","Live_Cattle_('Low', 'LE=F')","Live_Cattle_('Open', 'LE=F')","Live_Cattle_('Volume', 'LE=F')","Lean_Hogs_('Close', 'HE=F')","Lean_Hogs_('High', 'HE=F')","Lean_Hogs_('Low', 'HE=F')","Lean_Hogs_('Open', 'HE=F')","Lean_Hogs_('Volume', 'HE=F')","Feeder_Cattle_('Close', 'GF=F')","Feeder_Cattle_('High', 'GF=F')","Feeder_Cattle_('Low', 'GF=F')","Feeder_Cattle_('Open', 'GF=F')","Feeder_Cattle_('Volume', 'GF=F')","Lumber_('Close', 'LBS=F')","Lumber_('High', 'LBS=F')","Lumber_('Low', 'LBS=F')","Lumber_('Open', 'LBS=F')","Lumber_('Volume', 'LBS=F')",Year,Month,Quarter,Day_of_Week,Week_of_Year
1997-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.79998779296875,393.0,385.5,385.5,2652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,11,4,1,47
1997-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.0,397.0,391.5,393.29998779296875,629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,11,4,2,47
1997-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.20001220703125,393.70001220703125,390.1000061035156,392.5,1326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,11,4,3,47
1997-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.0,393.5,387.5,390.0,956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,11,4,4,47
1997-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.5,389.0,385.1000061035156,388.20001220703125,2704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,11,4,0,48
1997-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.79998779296875,385.0,378.5,384.5,1151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,11,4,1,48
1997-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.29998779296875,384.0,378.0,378.5,1046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,11,4,2,48
1997-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.5,386.0,381.0,381.0,1333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,0,49
1997-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.5,389.0,386.0,386.0,1171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,1,49
1997-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.70001220703125,388.5,385.5,386.0,2377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,2,49
1997-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.0,385.0,379.0,385.0,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,3,49
1997-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.0,384.5,380.5,382.5,984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,4,49
1997-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.70001220703125,380.8999938964844,376.0,379.8999938964844,2204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,0,50
1997-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.8999938964844,376.5,369.5,376.0,2056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,1,50
1997-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.8999938964844,380.0,370.0,379.0,2560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,2,50
1997-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.3999938964844,367.0,358.5,366.6000061035156,1640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,3,50
1997-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.20001220703125,362.0,359.0,360.0,1589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,4,50
1997-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.0,357.5,350.5,357.0,3811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,0,51
1997-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.6000061035156,346.0,339.5,346.0,2931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,1,51
1997-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.0,355.0,345.5,349.5,2193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,2,51
1997-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.70001220703125,358.5,353.5,353.5,1533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,3,51
1997-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.0,357.0,352.0,356.0,1494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,4,51
1997-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.1000061035156,356.0,352.70001220703125,355.0,1668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,0,52
1997-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.0,356.0,353.0,353.0,1731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,1,52
1997-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.3999938964844,366.3999938964844,359.0,359.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,2,52
1997-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.0,368.8999938964844,365.5,368.0,3525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,4,52
1997-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.5,367.0,363.5,365.0,928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,0,1
1997-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.0,369.0,362.0,366.0,478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,1,1
1997-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.79998779296875,371.0,365.0,366.5,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,12,4,2,1
1998-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0,370.0,366.5,370.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,4,1
1998-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.3999938964844,366.0,363.5,366.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,0,2
1998-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.6000061035156,362.0,355.5,362.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,1,2
1998-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.5,363.5,358.5,360.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,2,2
1998-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.1000061035156,366.0,360.0,365.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,3,2
1998-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.1000061035156,365.0,364.0,364.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,4,2
1998-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.1000061035156,365.1000061035156,363.0,363.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,0,3
1998-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.20001220703125,375.20001220703125,363.0,363.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,1,3
1998-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.5,393.0,380.0,380.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,2,3
1998-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.6000061035156,391.6000061035156,391.6000061035156,391.6000061035156,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,3,3
1998-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.6000061035156,385.0,377.6000061035156,385.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,4,3
1998-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.5,379.0,378.5,379.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,1,4
1998-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.5,382.5,382.5,382.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,2,4
1998-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.1000061035156,388.0,387.1000061035156,388.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1,1,3,4
